uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type
106940200|106940200|106940200_000001|Bautismos S/N 8 sep 1967–1 ene 1969 - DGS(106940200)|Bautismos S/N 8 sep 1967–1 ene 1969 - DGS(106940200)|ES|Español|1969/1969|San Andrés Apóstol, Checca, Checca, Canas, Cusco, Perú; Nuestra Señora de la Asunción, Langui, Langui, Canas, Cusco, Perú; San Lucas, Layo, Layo, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940201|106940201|106940201_000001|Bautismos S/N 8 mar–14 abr 1968 - DGS(106940201)|Bautismos S/N 8 mar–14 abr 1968 - DGS(106940201)|ES|Español|1968/1968|Nuestra Señora de la Asunción, Langui, Langui, Canas, Cusco, Perú; San Lucas, Layo, Layo, Canas, Cusco, Perú; San Andrés Apóstol, Checca, Checca, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940202|106940202|106940202_000001|Bautismos S/N 18 abr 1976–19 ene 1977 - DGS(106940202)|Bautismos S/N 18 abr 1976–19 ene 1977 - DGS(106940202)|ES|Español|1977/1977|Nuestra Señora de la Asunción, Langui, Langui, Canas, Cusco, Perú; San Lucas, Layo, Layo, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940203|106940203|106940203_000001|Bautismos S/N 27 mar–17 sep 1979 - DGS(106940203)|Bautismos S/N 27 mar–17 sep 1979 - DGS(106940203)|ES|Español|1979/1979|San Andrés Apóstol, Checca, Checca, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940204|106940204|106940204_000001|Bautismos S/N 15 sep 1979–14 ago 1980 - DGS(106940204)|Bautismos S/N 15 sep 1979–14 ago 1980 - DGS(106940204)|ES|Español|1980/1980|San Andrés Apóstol, Checca, Checca, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940205|106940205|106940205_000001|Bautismos S/N 17 oct 1975–18 oct 1976 - DGS(106940205)|Bautismos S/N 17 oct 1975–18 oct 1976 - DGS(106940205)|ES|Español|1976/1976|San Andrés Apóstol, Checca, Checca, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940206|106940206|106940206_000001|Bautismos S/N 22 ago–15 sep 1983 - DGS(106940206)|Bautismos S/N 22 ago–15 sep 1983 - DGS(106940206)|ES|Español|1983/1983|San Andrés Apóstol, Checca, Checca, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940207|106940207|106940207_000001|Bautismos S/N 3 may–31 oct 1977 - DGS(106940207)|Bautismos S/N 3 may–31 oct 1977 - DGS(106940207)|ES|Español|1977/1977|San Andrés Apóstol, Checca, Checca, Canas, Cusco, Perú; San Lucas, Layo, Layo, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940208|106940208|106940208_000001|Bautismos S/N 15 abr–7 jul 1984 - DGS(106940208)|Bautismos S/N 15 abr–7 jul 1984 - DGS(106940208)|ES|Español|1984/1984|San Andrés Apóstol, Checca, Checca, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940209|106940209|106940209_000001|Bautismos S/N 14 abr 1968–1 ene 1969 - DGS(106940209)|Bautismos S/N 14 abr 1968–1 ene 1969 - DGS(106940209)|ES|Español|1969/1969|San Lucas, Layo, Layo, Canas, Cusco, Perú; Santa Cruz, El Descanso, Kunturkanki, Canas, Cusco, Perú; San Andrés Apóstol, Checca, Checca, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940210|106940210|106940210_000001|Bautismos S/N 18 oct 1955–25 dic 1972 - DGS(106940210)|Bautismos S/N 18 oct 1955–25 dic 1972 - DGS(106940210)|ES|Español|1972/1972|San Andrés Apóstol, Checca, Checca, Canas, Cusco, Perú; San Lucas, Layo, Layo, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940211|106940211|106940211_000001|Bautismos S/N 5 abr–20 ago 1986 - DGS(106940211)|Bautismos S/N 5 abr–20 ago 1986 - DGS(106940211)|ES|Español|1986/1986|Santa Cruz, El Descanso, Kunturkanki, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940212|106940212|106940212_000001|Bautismos S/N 23 ago 1975–jun 1976 - DGS(106940212)|Bautismos S/N 23 ago 1975–jun 1976 - DGS(106940212)|ES|Español|1976/1976|Nuestra Señora de la Asunción, Langui, Langui, Canas, Cusco, Perú; San Lucas, Layo, Layo, Canas, Cusco, Perú; San Andrés Apóstol, Checca, Checca, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940213|106940213|106940213_000001|Bautismos S/N 15 abr–11 nov 1979 - DGS(106940213)|Bautismos S/N 15 abr–11 nov 1979 - DGS(106940213)|ES|Español|1979/1979|Nuestra Señora de la Asunción, Langui, Langui, Canas, Cusco, Perú; San Andrés Apóstol, Checca, Checca, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940214|106940214|106940214_000001|Bautismos S/N 9 oct–11 dic 1967 - DGS(106940214)|Bautismos S/N 9 oct–11 dic 1967 - DGS(106940214)|ES|Español|1967/1967|Inmaculada Concepción, Velille, Velille, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940215|106940215|106940215_000001|Bautismos S/N 12–15 ago 1971 - DGS(106940215)|Bautismos S/N 12–15 ago 1971 - DGS(106940215)|ES|Español|1971/1971|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940216|106940216|106940216_000001|Bautismos S/N 7 ago–6 sep 1970 - DGS(106940216)|Bautismos S/N 7 ago–6 sep 1970 - DGS(106940216)|ES|Español|1970/1970|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940217|106940217|106940217_000001|Bautismos S/N 10 may–7 ago 1970 - DGS(106940217)|Bautismos S/N 10 may–7 ago 1970 - DGS(106940217)|ES|Español|1970/1970|Inmaculada Concepción, Colquemarca, Colquemarca, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940218|106940218|106940218_000001|Bautismos S/N 5 mar 1984–8 abr 1985 - DGS(106940218)|Bautismos S/N 5 mar 1984–8 abr 1985 - DGS(106940218)|ES|Español|1985/1985|Santa Cruz, El Descanso, Kunturkanki, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940219|106940219|106940219_000001|Bautismos S/N 24 abr–29 ago 1962 - DGS(106940219)|Bautismos S/N 24 abr–29 ago 1962 - DGS(106940219)|ES|Español|1962/1962|Inmaculada Concepción, Velille, Velille, Chumbivilcas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
106940220|106940220|106940220_000001|Bautismos S/N 12 abr 1955–2 jun 1963 - DGS(106940220)|Bautismos S/N 12 abr 1955–2 jun 1963 - DGS(106940220)|ES|Español|1963/1963|Nuestra Señora de la Asunción, Langui, Langui, Canas, Cusco, Perú; San Andrés Apóstol, Checca, Checca, Canas, Cusco, Perú|Borrador de registros sacramentales||Borrador de registros sacramentales
