uad|dgs|folder|archive_reference|record_title|language_title|language|dates|locality|record_type|volume|event_type|
112025778|112025778|112025778_000001|Defunciones parroquiales_1932,Vol 23 - DGS(112025778)|Defunciones parroquiales_1932,Vol 23 - DGS(112025778)|ES|Español|1932|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunciones parroquiales|Vol 23|Defunciones parroquiales-1931—1932|
112025968|112025968|112025968_000001|Defunciones parroquiales_1931,Vol 22 - DGS(112025968)|Defunciones parroquiales_1931,Vol 22 - DGS(112025968)|ES|Español|1931|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunciones parroquiales|Vol 22|Defunciones parroquiales-1929—1931|
112026177|112026177|112026177_000001|Defunciones parroquiales_1928,Vol 21 - DGS(112026177)|Defunciones parroquiales_1928,Vol 21 - DGS(112026177)|ES|Español|1928|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunciones parroquiales|Vol 21|Defunciones parroquiales-1925—1928|
112026285|112026285|112026285_000001|Defunciones parroquiales_1924,Vol 19 - DGS(112026285)|Defunciones parroquiales_1924,Vol 19 - DGS(112026285)|ES|Español|1924|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunciones parroquiales|Vol 19|Defunciones parroquiales-1922—1924|
112026534|112026534|112026534_000001|Defunciones parroquiales_1922,Vol 18 - DGS(112026534)|Defunciones parroquiales_1922,Vol 18 - DGS(112026534)|ES|Español|1922|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunciones parroquiales|Vol 18|Defunciones parroquiales-1919—1922|
112026779|112026779|112026779_000001|Defunciones parroquiales_1919,Vol 17 - DGS(112026779)|Defunciones parroquiales_1919,Vol 17 - DGS(112026779)|ES|Español|1919|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunciones parroquiales|Vol 17|Defunciones parroquiales-1916—1919|
112027801|112027801|112027801_000001|Defunciones parroquiales_1916,Vol 16 - DGS(112027801)|Defunciones parroquiales_1916,Vol 16 - DGS(112027801)|ES|Español|1916|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunciones parroquiales|Vol 16|Defunciones parroquiales-1913—1916|
112028518|112028518|112028518_000001|Defunciones parroquiales, Entierros parroquiales_1947,Vol 30 - DGS(112028518)|Defunciones parroquiales, Entierros parroquiales_1947,Vol 30 - DGS(112028518)|ES|Español|1947|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunciones parroquiales- Entierros parroquiales|Vol 30|Defunciones parroquiales- Entierros parroquiales-1943—1947|
112028676|112028676|112028676_000001|Defunciones parroquiales_1950,Vol 31 - DGS(112028676)|Defunciones parroquiales_1950,Vol 31 - DGS(112028676)|ES|Español|1950|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunciones parroquiales|Vol 31|Defunciones parroquiales-1947—1950|
112029051|112029051|112029051_000001|Defunciones parroquiales_1953,Vol 32 - DGS(112029051)|Defunciones parroquiales_1953,Vol 32 - DGS(112029051)|ES|Español|1953|Matriz Catedral Del Callao, Callao, Callao, Perú|Defunciones parroquiales|Vol 32|Defunciones parroquiales-1950—1953|
